_id,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
128,A020375    ,Earl Marriott Secondary School Food Service,15751 16 Ave,Surrey,Restaurant,49.03126144,-122.78543854
129,SPLH-9P8T6J,Kababji Grill,15775 Croydon Dr,Surrey,Restaurant,49.04768753,-122.78492737
130,SDFO-8HCV64,White Spot (Morgan Crossing),15877 Croydon Dr,Surrey,Restaurant,49.04615402,-122.78245544
131,SHEN-AMWR8K,Holy Taco,15951 Fraser Hwy,Surrey,Restaurant,49.15815735,-122.78025055
132,SDFO-8G4L6D,Diamond Sweets and Restaurant,15933 Fraser Hwy,Surrey,Restaurant,49.15909576,-122.78079224
133,SHEN-9ZKSGP,Great Pizza,15988 Fraser Hwy,Surrey,Restaurant,49.15724945,-122.77954102
134,HCAR-AWTMSA,Sunny Dragon Restaurant,15988 Fraser Hwy,Surrey,Restaurant,49.15724945,-122.77954102
135,HCAR-BEFR43,Finest Cup,8645 160 St,Surrey,Restaurant,49.15956116,-122.77919006
136,A020070    ,Mac's Convenience Store #11095,1751 King George Blvd,Surrey,Restaurant,49.03381348,-122.77953339
137,HCAR-BGLL69,Steve's Poke Bar (Grandview Corners),2245 160 St,Surrey,Restaurant,49.04289246,-122.77955627
138,HCAR-BD9P6E,Pink Lotus Pho,16016 Fraser Hwy,Surrey,Restaurant,49.15693283,-122.77828217
139,HCAR-B6VVCN,Liberty Kitchen Grandview,16010 24 Ave,Surrey,Restaurant,49.04523087,-122.77856445
140,SHEN-B74PVN,Rosemary Rocksalt,16030 24 Ave,Surrey,Restaurant,49.04521942,-122.77797699
141,SHEN-B4GLZ6,Sage Dining Services,2656 160 St,Surrey,Restaurant,49.0500679,-122.7786026
142,GEDS-6DLT74,Fleetwood Villa Food Service,16028 83rd Ave,Surrey,Restaurant,49.15344238,-122.7780304
143,HCAR-AVPVC2,Woo Korean BBQ,16070 24 Ave,Surrey,Restaurant,49.04520035,-122.77735138
144,HCAR-AUQP2U,Fatburger at Grandview Corner,16070 24 Ave,Surrey,Restaurant,49.04520035,-122.77735138
145,NDAA-8WZLHY,Dragon's Chop Suey House,16055 Fraser Hwy,Surrey,Restaurant,49.15694046,-122.77709961
146,SWOD-AEQPQX,Real Canadian Superstore #1551 - Deli,2332 160 St,Surrey,Restaurant,49.04383087,-122.77640533
147,HCAR-B7EQE5,Chutney's Indian Grill,16120 24 Ave,Surrey,Restaurant,49.04472351,-122.77613831
148,HCAR-AUNR89,Panago #022,16120 24 Ave,Surrey,Restaurant,49.04472351,-122.77613831
149,GEDS-7X3VKR,Calvary Christian Church,16293 104 Ave,Surrey,Restaurant,49.19200516,-122.77082062
150,A018238    ,Northview Golf & Country Club (Canal Kiosk),6857 168 St,Surrey,Restaurant,49.12596512,-122.75822449
151,A019867    ,Eurest Dining Services #63384,16705 Fraser Hwy,Surrey,Restaurant,49.14956665,-122.75801086
152,GEDS-7ELNSQ,Czorny Alzheimer Centre - Main Kitchen,16850 66 Ave,Surrey,Restaurant,49.12240982,-122.75508881
153,ACAK-8VGVCP,Starbucks Coffee #17256,17455 56 Ave,Surrey,Restaurant,49.10437012,-122.73960114
154,SDFO-8KCLSD,Shannon Donair,17581 57 Ave,Surrey,Restaurant,49.10609818,-122.73535919
155,MARO-B23LQB,De Dutch #22 (Cloverdale),5630 176 St,Surrey,Restaurant,49.10466003,-122.73475647
156,GEDS-6UMNVV,Vault Restaurant,5764 176 St,Surrey,Restaurant,49.10710907,-122.73477936
157,GEDS-7BRPSU,The Derby Bar and Grill,17637 1 Ave,Surrey,Restaurant,49.00418472,-122.73369598
158,GEDS-6WLREY,Tim Hortons #3016,17695 64 Ave,Surrey,Restaurant,49.11896896,-122.73286438
159,HCAR-AZXQVR,Save On Foods #2215 - Wine,17745 64 Ave,Surrey,Restaurant,49.11971664,-122.73192596
160,GEDS-744NQ8,Dairy Queen #27268,17720 56th Ave,Surrey,Restaurant,49.10395546,-122.73182947
161,SHEN-9PELJD,Backstretch Restaurant,17740 62 Ave,Surrey,Restaurant,49.11555099,-122.73085022
162,SYOG-5M55QU,Zion Park Manor Food Service,5939 180 St,Surrey,Restaurant,49.11004257,-122.72399902
163,A016876    ,Lord Tweedsmuir Secondary School Cafeteria,6151 180 St,Surrey,Restaurant,49.11445618,-122.72403717
164,HCAR-BDRV5B,Aka Sushi,18408 64 Ave,Surrey,Restaurant,49.11859131,-122.71199036
165,SHEN-APNR78,Pho Hillton Vietnamese Restaurant,18640 Fraser Hwy,Surrey,Restaurant,49.12546158,-122.70609283
166,JDSO-ACRPBU,Taco Del Mar #1071,18775 Fraser Hwy,Surrey,Restaurant,49.12479401,-122.70209503
